id,label
20000,0
20001,0
20002,1
20003,0
20004,1
20005,0
20006,1
20007,0
20008,0
20009,1
20010,0
20011,1
20012,1
20013,1
20014,0
20015,0
20016,0
20017,0
20018,0
20019,0
20020,0
20021,0
20022,0
20023,1
20024,0
20025,0
20026,0
20027,1
20028,1
20029,0
20030,1
20031,1
20032,1
20033,0
20034,1
20035,1
20036,1
20037,1
20038,0
20039,0
20040,0
20041,0
20042,0
20043,1
20044,1
20045,1
20046,1
20047,0
20048,0
20049,0
20050,1
20051,1
20052,1
20053,0
20054,1
20055,1
20056,1
20057,1
20058,0
20059,1
20060,0
20061,0
20062,1
20063,0
20064,1
20065,0
20066,1
20067,1
20068,1
20069,0
20070,1
20071,1
20072,0
20073,0
20074,1
20075,1
20076,1
20077,1
20078,1
20079,0
20080,0
20081,0
20082,1
20083,1
20084,1
20085,0
20086,0
20087,0
20088,1
20089,0
20090,0
20091,0
20092,1
20093,1
20094,1
20095,1
20096,1
20097,0
20098,1
20099,0
20100,1
20101,0
20102,0
20103,1
20104,0
20105,1
20106,0
20107,0
20108,0
20109,0
20110,0
20111,1
20112,1
20113,0
20114,0
20115,1
20116,0
20117,1
20118,1
20119,0
20120,0
20121,1
20122,0
20123,1
20124,1
20125,0
20126,0
20127,1
20128,0
20129,1
20130,0
20131,0
20132,0
20133,0
20134,0
20135,1
20136,0
20137,1
20138,1
20139,0
20140,0
20141,1
20142,1
20143,1
20144,1
20145,0
20146,0
20147,0
20148,1
20149,1
20150,0
20151,1
20152,0
20153,0
20154,0
20155,0
20156,1
20157,0
20158,1
20159,1
20160,0
20161,1
20162,0
20163,1
20164,1
20165,0
20166,1
20167,0
20168,1
20169,1
20170,0
20171,0
20172,1
20173,1
20174,1
20175,0
20176,1
20177,0
20178,1
20179,0
20180,0
20181,1
20182,0
20183,1
20184,0
20185,0
20186,0
20187,0
20188,1
20189,1
20190,0
20191,0
20192,1
20193,0
20194,1
20195,0
20196,1
20197,0
20198,1
20199,1
20200,1
20201,1
20202,1
20203,0
20204,1
20205,0
20206,1
20207,0
20208,0
20209,0
20210,0
20211,0
20212,0
20213,1
20214,0
20215,1
20216,1
20217,1
20218,1
20219,0
20220,1
20221,1
20222,0
20223,1
20224,1
20225,1
20226,1
20227,1
20228,0
20229,0
20230,1
20231,1
20232,1
20233,0
20234,1
20235,0
20236,0
20237,0
20238,0
20239,1
20240,1
20241,0
20242,1
20243,0
20244,0
20245,1
20246,1
20247,1
20248,0
20249,0
20250,0
20251,1
20252,0
20253,0
20254,0
20255,1
20256,0
20257,1
20258,1
20259,1
20260,0
20261,0
20262,0
20263,0
20264,1
20265,1
20266,0
20267,0
20268,0
20269,1
20270,0
20271,0
20272,1
20273,1
20274,1
20275,1
20276,0
20277,1
20278,0
20279,0
20280,1
20281,1
20282,0
20283,0
20284,0
20285,0
20286,0
20287,1
20288,0
20289,1
20290,1
20291,0
20292,0
20293,1
20294,0
20295,0
20296,1
20297,1
20298,1
20299,0
20300,0
20301,0
20302,1
20303,0
20304,1
20305,0
20306,0
20307,1
20308,0
20309,1
20310,1
20311,0
20312,1
20313,0
20314,1
20315,0
20316,0
20317,0
20318,1
20319,1
20320,1
20321,0
20322,0
20323,0
20324,1
20325,1
20326,0
20327,0
20328,1
20329,0
20330,1
20331,1
20332,1
20333,0
20334,0
20335,0
20336,0
20337,1
20338,1
20339,0
20340,0
20341,0
20342,1
20343,1
20344,0
20345,0
20346,0
20347,0
20348,1
20349,1
20350,1
20351,0
20352,1
20353,0
20354,1
20355,0
20356,0
20357,0
20358,1
20359,0
20360,1
20361,0
20362,1
20363,1
20364,0
20365,0
20366,0
20367,1
20368,0
20369,1
20370,1
20371,0
20372,0
20373,1
20374,0
20375,0
20376,1
20377,0
20378,1
20379,0
20380,0
20381,1
20382,0
20383,0
20384,1
20385,0
20386,0
20387,1
20388,0
20389,1
20390,1
20391,1
20392,1
20393,1
20394,0
20395,0
20396,0
20397,1
20398,1
20399,1
20400,1
20401,1
20402,0
20403,0
20404,1
20405,0
20406,0
20407,0
20408,0
20409,1
20410,0
20411,1
20412,1
20413,0
20414,1
20415,1
20416,0
20417,0
20418,1
20419,1
20420,0
20421,0
20422,0
20423,1
20424,0
20425,0
20426,0
20427,1
20428,1
20429,0
20430,1
20431,1
20432,0
20433,0
20434,0
20435,1
20436,0
20437,1
20438,0
20439,0
20440,0
20441,0
20442,0
20443,1
20444,0
20445,1
20446,0
20447,0
20448,1
20449,0
20450,0
20451,1
20452,0
20453,1
20454,0
20455,1
20456,0
20457,0
20458,1
20459,1
20460,0
20461,0
20462,0
20463,1
20464,0
20465,1
20466,1
20467,1
20468,0
20469,0
20470,0
20471,1
20472,1
20473,1
20474,1
20475,0
20476,0
20477,1
20478,1
20479,0
20480,1
20481,0
20482,0
20483,1
20484,0
20485,1
20486,0
20487,0
20488,0
20489,1
20490,0
20491,0
20492,0
20493,0
20494,1
20495,0
20496,0
20497,1
20498,0
20499,0
20500,1
20501,0
20502,1
20503,0
20504,0
20505,1
20506,0
20507,1
20508,1
20509,0
20510,1
20511,0
20512,1
20513,1
20514,0
20515,0
20516,0
20517,1
20518,1
20519,0
20520,1
20521,0
20522,1
20523,1
20524,1
20525,1
20526,1
20527,0
20528,0
20529,1
20530,1
20531,1
20532,1
20533,0
20534,1
20535,0
20536,1
20537,0
20538,1
20539,1
20540,0
20541,0
20542,1
20543,0
20544,1
20545,1
20546,0
20547,1
20548,1
20549,1
20550,0
20551,0
20552,1
20553,0
20554,1
20555,1
20556,1
20557,1
20558,1
20559,0
20560,1
20561,0
20562,0
20563,1
20564,0
20565,0
20566,1
20567,1
20568,1
20569,1
20570,1
20571,0
20572,0
20573,1
20574,0
20575,1
20576,0
20577,1
20578,1
20579,1
20580,1
20581,0
20582,0
20583,0
20584,1
20585,1
20586,0
20587,1
20588,0
20589,1
20590,0
20591,0
20592,0
20593,0
20594,0
20595,0
20596,1
20597,0
20598,0
20599,0
20600,1
20601,0
20602,0
20603,1
20604,0
20605,1
20606,0
20607,1
20608,1
20609,0
20610,1
20611,1
20612,1
20613,1
20614,1
20615,1
20616,0
20617,1
20618,1
20619,1
20620,0
20621,0
20622,0
20623,0
20624,1
20625,1
20626,0
20627,1
20628,0
20629,0
20630,1
20631,0
20632,1
20633,0
20634,0
20635,0
20636,1
20637,1
20638,1
20639,0
20640,0
20641,0
20642,1
20643,0
20644,1
20645,1
20646,0
20647,1
20648,1
20649,1
20650,0
20651,1
20652,1
20653,1
20654,1
20655,1
20656,0
20657,0
20658,1
20659,0
20660,1
20661,0
20662,1
20663,1
20664,1
20665,1
20666,0
20667,1
20668,1
20669,1
20670,1
20671,1
20672,0
20673,0
20674,1
20675,0
20676,1
20677,1
20678,1
20679,1
20680,1
20681,0
20682,1
20683,0
20684,0
20685,1
20686,0
20687,1
20688,0
20689,0
20690,1
20691,0
20692,1
20693,1
20694,0
20695,1
20696,1
20697,0
20698,0
20699,0
20700,1
20701,1
20702,1
20703,1
20704,1
20705,0
20706,0
20707,0
20708,0
20709,0
20710,1
20711,0
20712,1
20713,0
20714,1
20715,0
20716,1
20717,1
20718,1
20719,1
20720,1
20721,0
20722,1
20723,0
20724,0
20725,1
20726,0
20727,0
20728,1
20729,0
20730,0
20731,0
20732,1
20733,0
20734,1
20735,1
20736,0
20737,1
20738,0
20739,1
20740,1
20741,1
20742,0
20743,0
20744,1
20745,1
20746,0
20747,0
20748,1
20749,1
20750,1
20751,1
20752,0
20753,0
20754,1
20755,1
20756,1
20757,0
20758,1
20759,0
20760,0
20761,1
20762,1
20763,1
20764,1
20765,0
20766,0
20767,1
20768,1
20769,1
20770,1
20771,1
20772,1
20773,1
20774,0
20775,1
20776,1
20777,1
20778,0
20779,0
20780,0
20781,1
20782,1
20783,0
20784,1
20785,0
20786,1
20787,0
20788,1
20789,0
20790,0
20791,1
20792,0
20793,1
20794,0
20795,0
20796,0
20797,0
20798,1
20799,1
